======Круг: #1, Тип: DAILY======
Квест: сломать Хвоя | Уровень: EASY | Прогресс: 64
Квест: убить Свинья | Уровень: EASY | Прогресс: 8
Квест: скрафтить Сосновое бревно | Уровень: EASY | Прогресс: 64
Квест: зачаровать любой предмет на Неразрушимость | Уровень: EASY | Прогресс: 1
Квест: добыть Кремень ломая Гравий при помощи Незеритовая лопата | Уровень: EASY | Прогресс: 4
Квест: пройти 100 блоков в нижний мир | Уровень: EASY | Прогресс: 100
Квест: пролететь 7500 блоков в нижний мир | Уровень: EASY | Прогресс: 7500
Квест: пробежать 300 блоков в мир Края | Уровень: EASY | Прогресс: 300
Квест: пробежать 300 блоков | Уровень: EASY | Прогресс: 300
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300


======Круг: #2, Тип: DAILY======
Квест: сломать Железная руда | Уровень: EASY | Прогресс: 128
Квест: скрафтить Багровая дверь | Уровень: EASY | Прогресс: 3
Квест: пролететь 35000 блоков | Уровень: EASY | Прогресс: 35000
Квест: пробежать 300 блоков | Уровень: EASY | Прогресс: 300
Квест: проплыть 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: пробежать 300 блоков в мир Края | Уровень: EASY | Прогресс: 300
Квест: зачаровать любой предмет на Неразрушимость III | Уровень: EASY | Прогресс: 1
Квест: добыть Кремень ломая Гравий при помощи Алмазная лопата | Уровень: EASY | Прогресс: 4
Квест: убить Эндермен | Уровень: EASY | Прогресс: 8


======Круг: #3, Тип: DAILY======
Квест: скрафтить Железная лопата | Уровень: EASY | Прогресс: 12
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300
Квест: сломать Песчаник | Уровень: EASY | Прогресс: 192
Квест: убить Эндермен | Уровень: EASY | Прогресс: 8
Квест: зачаровать любой предмет на Неразрушимость | Уровень: EASY | Прогресс: 1
Квест: пройти 100 блоков в верхний мир | Уровень: EASY | Прогресс: 100
Квест: пролететь 35000 блоков | Уровень: EASY | Прогресс: 35000
Квест: пройти 100 блоков в нижний мир | Уровень: EASY | Прогресс: 100
Квест: пролететь 7500 блоков в нижний мир | Уровень: EASY | Прогресс: 7500


======Круг: #4, Тип: DAILY======
Квест: скрафтить Золотой блок | Уровень: EASY | Прогресс: 2
Квест: убить Крипер | Уровень: EASY | Прогресс: 8
Квест: сломать Земля | Уровень: EASY | Прогресс: 192
Квест: пролететь 10000 блоков в верхний мир | Уровень: EASY | Прогресс: 10000
Квест: зачаровать предмет Алмазный шлем на Взрывоустойчивость III | Уровень: EASY | Прогресс: 1
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: пройти 100 блоков | Уровень: EASY | Прогресс: 100
Квест: добыть Кремень ломая Гравий при помощи Каменная лопата | Уровень: EASY | Прогресс: 4
Квест: проплыть 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300


======Круг: #5, Тип: DAILY======
Квест: съесть Картофель | Уровень: EASY | Прогресс: 12
Квест: сломать Лазуритовая руда | Уровень: EASY | Прогресс: 128
Квест: добыть Кремень ломая Гравий | Уровень: EASY | Прогресс: 4
Квест: зачаровать предмет Алмазные ботинки на Защита III | Уровень: EASY | Прогресс: 1
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: пройти 100 блоков в нижний мир | Уровень: EASY | Прогресс: 100
Квест: убить Овца | Уровень: EASY | Прогресс: 8
Квест: пробежать 300 блоков | Уровень: EASY | Прогресс: 300


======Круг: #6, Тип: DAILY======
Квест: зачаровать любой предмет на Неразрушимость III | Уровень: EASY | Прогресс: 1
Квест: скрафтить Алмазный шлем | Уровень: EASY | Прогресс: 2
Квест: сломать Листва азалии | Уровень: EASY | Прогресс: 32
Квест: убить Скелет | Уровень: EASY | Прогресс: 8
Квест: добыть Кремень ломая Гравий при помощи Золотая лопата | Уровень: EASY | Прогресс: 4
Квест: проплыть 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: отыграть на сервере 12 часов | Уровень: EASY | Прогресс: 43200
Квест: пролететь 10000 блоков в верхний мир | Уровень: EASY | Прогресс: 10000


======Круг: #7, Тип: DAILY======
Квест: скрафтить Вишневая дверь | Уровень: EASY | Прогресс: 3
Квест: сломать Камень | Уровень: EASY | Прогресс: 192
Квест: зачаровать любой предмет на Неразрушимость | Уровень: EASY | Прогресс: 1
Квест: пробежать 300 блоков в мир Края | Уровень: EASY | Прогресс: 300
Квест: убить Паук | Уровень: EASY | Прогресс: 8
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300
Квест: пролететь 35000 блоков | Уровень: EASY | Прогресс: 35000
Квест: пройти 100 блоков в верхний мир | Уровень: EASY | Прогресс: 100
Квест: добыть Кремень ломая Гравий при помощи Деревянная лопата | Уровень: EASY | Прогресс: 4
Квест: проплыть 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300


======Круг: #8, Тип: DAILY======
Квест: пробежать 300 блоков в мир Края | Уровень: EASY | Прогресс: 300
